Tankmasse;Tage;Apo;Per;SMA;ECC;TotalMass;orbitheight;targetmass;
5.290.581.689;4.457.387.178;6.782.359.324;65.567.005;6.669.529.912;0.01691714611;2.492.905.817;1200;200;1
471.752.828;4.967.905.207;6.951.725.367;6.557.931.025;6.754.828.196;0.02914910119;2.737.175.283;1200;225;0
418.539.828;5.312.817.302;7.121.338.239;6.556.747.134;6.839.042.686;0.04127705662;2.981.853.983;1200;250;1
3.671.808.152;5.663.983.337;7.160.903.476;6.557.892.432;6.859.397.954;0.04395509989;3.226.718.082;1200;275;0
3.403.953.436;6.134.983.904;6.840.342.483;6.556.947.136;6.698.644.809;0.0211531851;3.474.039.534;1200;300;1
2.802.267.902;6.664.156.702;699.973.197;6.556.677.919;6.778.204.945;0.03268225541;3.718.022.679;1200;325;1
2.213.342.498;7.080.242.705;7.206.332.434;6.557.827.835;6.882.080.134;0.04711544952;3.962.133.425;1200;350;0
1.852.259.495;7.382.188.306;7.241.810.761;6.556.936.429;6.899.373.595;0.04963308065;4.208.522.595;1200;375;1
1.385.144.838;8.233.956.237;6.852.877.638;6.557.893.584;6.705.385.611;0.02199605445;4.453.851.448;1200;400;0
0.8506076562;8.622.123.656;7.076.607.957;6.557.976.106;6.817.292.032;0.03803796644;4.698.506.077;1200;425;0
0.4737440827;889.913.873;7.246.988.713;6.556.975.873;6.901.982.293;0.0499865699;4.944.737.441;1200;450;1
0.0008182743067;9.236.630.549;728.052.772;6.567.822.065;6.924.174.893;0.05146502406;5.190.008.183;1200;475;0
0.0008119800117;9.252.919.069;7.502.121.331;6.611.128.856;7.056.625.093;0.06313162901;544.000.812;1200;500;0
0.0005112828942;9.272.569.799;7.555.905.587;6.648.433.764;7.102.169.675;0.06388694329;5.690.005.113;1200;525;0
0.0005284172943;9.291.630.253;7.575.376.196;6.682.769.698;7.129.072.947;0.06260326586;5.940.005.284;1200;550;0
7.931.221.725;1.965.654.415;7.174.288.204;6.557.478.607;6.865.883.406;0.04491844388;1.019.312.217;1250;50;0
7.431.298.291;2.334.611.358;7.066.386.549;6.556.519.024;6.811.452.787;0.03742722299;1.264.312.983;1250;75;1
7.040.983.925;2.856.921.564;668.103.948;6.556.880.153;6.618.959.817;0.009379066393;1.510.409.839;1250;100;1
6.441.289.809;3.452.833.986;7.181.907.731;6.557.689.285;6.869.798.508;0.04543207815;1.754.412.898;1250;125;0
5.909.676.804;3.801.319.161;7.229.690.292;6.556.745.729;689.321.801;0.04881207596;1.999.096.768;1250;150;1
5.385.214.755;4.150.768.505;7.274.816.489;6.557.783.906;6.916.300.198;0.05183642721;2.243.852.148;1250;175;0
5.128.641.276;4.623.977.584;6.788.223.588;655.683.948;6.672.531.534;0.01733855486;2.491.286.413;1250;200;1
4.448.013.371;5.085.176.206;7.051.639.895;655.763.337;6.804.636.633;0.03629925826;2.734.480.134;1250;225;0
3.899.830.015;5.461.050.182;7.187.222.631;6.556.886.971;6.872.054.801;0.04586224053;29.789.983;1250;250;1
3.399.995.288;5.819.823.212;7.183.567.716;6.557.822.073;6.870.694.895;0.04553728936;3.223.999.953;1250;275;0
3.080.535.246;6.486.081.185;6.789.195.143;6.557.677.242;6.673.436.192;0.01734622872;3.470.805.352;1250;300;0
2.370.466.581;6.966.441.131;7.150.156.436;6.557.970.538;6.854.063.487;0.04319962161;3.713.704.666;1250;325;0
1.878.639.247;7.316.655.465;7.292.223.079;6.557.894.061;692.505.857;0.05301969727;3.958.786.392;1250;350;0
1.677.664.371;7.957.205.718;6.715.019.307;6.557.600.665;6.636.309.986;0.01186040454;4.206.776.644;1250;375;0
0.9108045748;8.558.035.466;7.067.810.665;6.557.982.079;6.812.896.372;0.03741643484;4.449.108.046;1250;400;0
0.4579682415;887.278.765;719.766.314;6.556.800.172;6.877.231.656;0.04659309147;4.694.579.682;1250;425;1
0.0009023476782;9.191.126.809;7.289.624.002;6.560.182.829;6.924.903.416;0.05266796725;4.940.009.023;1250;450;0
0.0003711549244;9.209.927.769;7.544.293.944;6.609.130.066;7.076.712.005;0.06607333155;5.190.003.712;1250;475;0
0.000861860654;923.192.903;7.605.148.704;6.651.364.946;7.128.256.825;0.06690161295;5.440.008.619;1250;500;0
0.0001348811287;9.251.636.486;7.628.091.655;668.942.726;7.158.759.457;0.06556054859;5.690.001.349;1250;525;0
0.0001800528652;926.794.516;7.639.177.685;672.475.814;7.181.967.913;0.06366079304;5.940.001.801;1250;550;0
7.837.916.345;2.033.895.667;7.238.997.488;6.557.409.946;6.898.203.717;0.04940326282;1.018.379.163;1300;50;0
7.321.248.775;241.515.396;7.165.272.664;6.556.906.888;6.861.089.776;0.04433448586;1.263.212.488;1300;75;1
6.959.398.599;3.038.154.385;6.649.287.267;6.556.595.981;6.602.941.624;0.007018938848;1.509.593.986;1300;100;1
6.282.356.471;3.515.171.419;7.281.485.079;655.799.167;6.919.738.374;0.0522775118;1.752.823.565;1300;125;0
5.734.683.229;3.876.756.122;7.285.882.881;6.556.647.121;6.921.265.001;0.05268081478;1.997.346.832;1300;150;1
5.192.779.018;4.242.760.237;731.511.166;6.557.954.419;693.653.304;0.05457749836;224.192.779;1300;175;0
4.835.426.325;4.791.872.042;6.970.865.423;6.556.827.079;6.763.846.251;0.03060672348;2.488.354.263;1300;200;1
4.187.709.355;5.224.340.472;7.139.967.078;655.798.503;6.848.976.054;0.04248679243;2.731.877.094;1300;225;0
3.620.677.913;5.616.201.314;7.239.236.758;6.556.853.611;6.898.045.184;0.04946206702;2.976.206.779;1300;250;1
3.194.798.035;6.035.400.276;7.001.106.568;6.557.892.137;6.779.499.352;0.0326878437;322.194.798;1300;275;0
2.659.954.011;6.762.038.101;6.967.598.485;655.698.943;6.762.293.958;0.03036018976;346.659.954;1300;300;1
2.036.029.969;7.194.278.985;7.324.165.366;6.557.944.611;6.941.054.988;0.05519483393;37.103.603;1300;325;0
1.575.190.589;7.540.861.806;7.310.310.834;6.556.862.261;6.933.586.547;0.05433324926;3.955.751.906;1300;350;1
116.975.541;834.928.558;6.937.596.253;6.556.770.533;6.747.183.393;0.02822108852;4.201.697.554;1300;375;1
0.5093047364;8.786.442.019;7.187.695.605;6.557.910.864;6.872.803.235;0.04581716657;4.445.093.047;1300;400;0
0.07124356024;9.081.851.947;731.690.008;6.556.929.665;6.936.914.873;0.05477726251;4.690.712.436;1300;425;1
0.0006774491797;9.140.513.736;7.602.711.678;6.609.347.789;7.106.029.733;0.06989584382;4.940.006.774;1300;450;0
0.0002949909237;9.153.398.454;7.674.895.389;6.657.018.653;7.165.957.021;0.07102168864;519.000.295;1300;475;0
0.0001959478034;9.164.822.666;7.695.397.962;6.700.473.156;7.197.935.559;0.06911181673;5.440.001.959;1300;500;0
4,87E+04;9.176.867.651;770.184.122;6.739.539.249;7.220.690.235;0.06663504037;5.690.000.487;1300;525;0
0.0007181749528;9.187.165.622;7.703.509.968;6.775.502.829;7.239.506.398;0.0640932605;5.940.007.182;1300;550;0
7.749.693.072;2.098.552.008;7.291.731.034;6.557.897.997;6.924.814.515;0.05298575401;1.017.496.931;1350;50;0
7.218.698.328;2.500.380.527;718.317.192;655.664.258;686.990.725;0.04559954867;1.262.186.983;1350;75;1
6.787.761.593;3.166.948.724;6.794.911.276;6.556.863.768;6.675.887.522;0.01782890338;1.507.877.616;1350;100;1
6.126.505.345;3.579.335.489;7.376.602.135;6.557.781.935;6.967.192.035;0.05876256862;1.751.265.053;1350;125;0
5.564.966.813;3.957.055.998;7.351.674.396;6.556.883.941;6.954.279.168;0.05714398542;1.995.649.668;1350;150;1
5.007.661.293;433.483.566;7.323.568.781;6.557.806.634;6.940.687.707;0.05516471706;2.240.076.613;1350;175;0
4.577.973.065;492.571.345;7.111.233.501;6.556.918.193;6.834.075.847;0.04055524997;2.485.779.731;1350;200;1
3.933.784.769;5.373.354.153;7.209.706.459;6.557.673.106;6.883.689.782;0.04736074503;2.729.337.848;1350;225;0
336.056.234;5.785.975.561;7.312.587.095;6.557.981.216;6.935.284.155;0.05440338583;2.973.605.623;1350;250;0
3.061.838.111;6.364.027.949;6.901.238.642;6.556.856.396;6.729.047.519;0.02558922678;3.220.618.381;1350;275;1
2.333.712.885;6.977.951.405;7.236.788.478;6.556.734.995;6.896.761.737;0.04930237616;3.463.337.129;1350;300;1
1.716.139.409;7.408.383.854;7.432.114.138;6.557.813.592;6.994.963.865;0.06249500094;3.707.161.394;1350;325;0
1.390.727.853;7.865.182.959;7.133.920.809;6.556.961.265;6.845.441.037;0.04214188252;3.953.907.279;1350;350;1
0.7235759489;8.588.780.452;7.129.183.179;6.556.977.571;6.843.080.375;0.0418090667;4.197.235.759;1350;375;1
0.1188949013;898.042.215;7.290.402.597;6.557.937.578;6.924.170.087;0.05289189964;4.441.188.949;1350;400;0
-1,14E-04;906.040.358;7.633.209.593;6.606.128.178;7.119.668.886;0.07212985826;469;1350;425;0
0.0008374653833;906.972.516;7.707.216.405;6.658.057.074;718.263.674;0.07303441409;4.940.008.375;1350;450;0
9,22E+04;9.077.317.187;7.721.580.737;6.704.427.618;7.213.004.177;0.07050828576;5.190.000.922;1350;475;0
0.0003645852173;9.082.186.608;7.723.673.573;6.746.906.654;7.235.290.114;0.06750019029;5.440.003.646;1350;500;0
0.0001169375083;9.087.327.929;7.724.321.723;6.785.420.854;7.254.871.289;0.06470830644;5.690.001.169;1350;525;0
0.0008304469044;9.092.905.469;7.724.704.584;6.821.109.018;7.272.906.801;0.06212066173;5.940.008.304;1350;550;0
7.660.580.044;2.163.075.903;7.340.403.152;6.557.599.727;694.900.144;0.05632488579;10.166.058;1400;50;0
7.117.383.148;259.482.934;7.146.674.304;6.556.749.386;6.851.711.845;0.04304945468;1.261.173.831;1400;75;1
6.612.168.616;3.252.199.215;7.015.738.446;6.556.746.019;6.786.242.232;0.03381786346;1.506.121.686;1400;100;1
5.976.323.159;364.787.259;7.456.601.716;6.557.992.149;7.007.296.933;0.06411955821;1.749.763.232;1400;125;0
5.396.810.546;4.038.556.564;7.403.434.969;6.556.974.481;6.980.204.725;0.06063292707;1.993.968.105;1400;150;1
4.824.595.091;4.436.677.649;733.217.162;6.557.757.972;6.944.964.796;0.05575360496;2.238.245.951;1400;175;0
4.334.419.379;5.074.993.038;7.256.914.593;6.557.811.149;6.907.362.871;0.05060566947;2.483.344.194;1400;200;0
3.704.006.732;5.524.366.638;7.313.592.667;6.556.907.996;6.935.250.332;0.05455352258;2.727.040.067;1400;225;1
3.117.234.576;5.959.522.891;7.376.327.774;6.557.963.748;6.967.145.761;0.05873022138;2.971.172.346;1400;250;0
2.704.928.896;6.719.679.287;6.976.885.452;655.786.066;6.767.373.056;0.03095919117;3.217.049.289;1400;275;0
2.020.270.393;7.181.324.273;7.404.679.117;6.556.924.151;6.980.801.634;0.06072045956;3.460.202.704;1400;300;1
1.417.099.475;7.602.185.811;7.487.598.194;6.557.755.277;7.022.676.735;0.06620288478;3.704.170.995;1400;325;0
1.077.702.158;8.293.458.507;6.871.831.266;6.557.991.891;6.714.911.579;0.02336883894;3.950.777.022;1400;350;0
0.3398622725;8.763.367.749;7.255.694.578;6.556.838.522;690.626.655;0.0505957923;4.193.398.623;1400;375;1
-3,41E-04;8.971.887.489;7.589.121.434;6.592.231.858;7.090.676.646;0.07029580009;444;1400;400;0
0.0005640980188;8.966.922.197;7.724.982.861;6.649.918.926;7.187.450.893;0.07478756726;4.690.005.641;1400;425;0
0.000785990318;8.972.456.775;776.005.072;6.700.304.117;7.230.177.419;0.0732863484;494.000.786;1400;450;0
0.0002591496203;8.982.561.246;7.774.989.705;6.745.767.008;7.260.378.357;0.07087941199;5.190.002.591;1400;475;0
0.000321555013;8.994.711.739;7.783.885.951;6.787.492.653;7.285.689.302;0.06838016674;5.440.003.216;1400;500;0
0.0007071025476;9.011.633.589;7.789.704.535;6.825.770.329;7.307.737.432;0.06595298578;5.690.007.071;1400;525;0
0.0004310961758;9.027.805.508;7.794.469.081;6.861.026.245;7.327.747.663;0.06369234302;5.940.004.311;1400;550;0
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
